"ID","Earnings"
1,9745.2371226066
2,9626.4897840184
3,9674.88992629697
4,9712.90703165871
5,9874.80529460091
6,9716.95557350852
7,9736.15052230453
8,9736.06099368862
9,9768.35443660247
10,9705.84964761588
11,9660.69605205267
12,9763.22556784383
13,9758.25829125843
14,9715.89783262238
15,9733.64462241192
16,9658.91170546802
17,9814.48185960453
18,9719.82814796698
19,9751.21369233408
20,9714.90956972155
21,9756.20985823707
22,9700.87591719577
23,9704.97905854452
24,9794.42841193139
25,9638.66389644572
26,9783.32176992359
27,9745.0636071722
28,9786.39907090676
29,9771.29098552934
30,9706.87323727576
31,9749.31972591823
32,9820.61966824532
33,9696.96460180408
34,9798.40499638156
35,9785.38700686595
36,9729.00548490047
37,9757.24547151797
38,9679.96382110585
39,9718.97528514556
40,9699.92527614181
41,9770.3430757896
42,9738.20950133431
43,9711.15208878685
44,9745.1030424982
45,9796.54247106861
46,9768.23130014457
47,9772.33918220879
48,9652.61093599631
49,9729.01381978769
50,9710.28026820496
51,9700.82120574133
52,9813.54806105588
53,9794.39583387999
54,9803.47032079658
55,9704.93402544334
56,9733.03612546531
57,9740.06713339159
58,9766.30043959261
59,9786.49342420477
60,9780.40873645012
61,9729.19718730641
62,9795.64136832468
63,9684.91195330011
64,9771.24087004836
65,9759.21858847458
66,9708.03055478427
67,9766.22014730575
68,9691.32822986222
69,9727.97479186392
70,9714.92702318451
71,9825.60563560203
72,9811.7609965497
73,9695.81128090701
74,9679.85705134236
75,9740.49256489929
76,9712.18334160093
77,9801.04451326793
78,9668.00505108918
79,9698.83735265198
80,9644.02195151318
81,9730.21045486888
82,9671.74561514719
83,9760.26136110991
84,9731.18227190629
85,9710.90460555138
86,9774.31428637559
87,9767.32752206417
88,9754.20667643008
89,9773.2591822416
90,9786.53386133249
91,9775.50994664375
92,9692.81306868903
93,9650.56834105439
94,9771.34110101032
95,9699.96186240028
96,9733.05257132874
97,9756.14922473655
98,9667.63348936927
99,9714.92702318451
100,9673.79598519881
